name,type,agency
133,Minibus,10 de diciembre
207,Minibus,15 de agosto
40,Minibus,16 de noviembre
17,Minibus,16 de noviembre
19,Minibus,16 de noviembre
265,Minibus,3 de noviembre
106,Minibus,Asociación Atispa
016,Taxi trufi,Asociación de transporte integrado de servicio público Apote
108,Taxi trufi,Asociación de transporte mixto Oruro
138,Taxi trufi,Asociación de transporte mixto Oruro
148,Minibus,Asociación de transporte mixto Oruro
115,Taxi trufi,Asociación de transporte mixto Renacer
116,Minibus,Asociación de transporte mixto Renacer
01,Taxi trufi,Asociación Luz Urkupiña
118,Minibus,Asociación mixta de transporte y servicios Chilimarca
311,Taxi trufi,Asociación Pucara Grande
119,Taxi trufi,Asociación Uspa Uspa
M,Micro,Avaroa
109,Taxi trufi,Cosmos
210,Minibus,El Paso
261,Minibus,Itapaya
27,Minibus,La Rinconada línea 27
1001,Minibus,Mixto de transportistas Sindicato mixto de transportistas 21 de julio
P,Micro,Pagador
111,Taxi trufi,Pucara
136,Taxi trufi,Sebastian Pagador
R,Micro,Sebastian Pagador
T,Micro,Sebastian Pagador
113,Taxi trufi,Sindicato 12 de octubre
2,Minibus,Sindicato 14 de septiembre
3,Minibus,Sindicato 14 de septiembre
6,Minibus,Sindicato 14 de septiembre
9,Minibus,Sindicato 14 de septiembre
10,Minibus,Sindicato 14 de septiembre
11,Minibus,Sindicato 14 de septiembre
35,Minibus,Sindicato 14 de septiembre
45,Minibus,Sindicato 14 de septiembre
46,Minibus,Sindicato 14 de septiembre
102,Taxi trufi,Sindicato 14 de septiembre
110,Taxi trufi,Sindicato 14 de septiembre
121,Taxi trufi,Sindicato 14 de septiembre
150,Taxi trufi,Sindicato 15 de abril
217,Minibus,Sindicato 15 de agosto
104,Taxi trufi,Sindicato 1ro de mayo
204,Minibus,Sindicato 1ro de mayo
205,Minibus,Sindicato 1ro de mayo
206,Minibus,Sindicato 1ro de mayo
252,Minibus,Sindicato 1ro de mayo
W,Micro,Sindicato 1ro de mayo
123,Taxi trufi,Sindicato 23 de julio
130,Taxi trufi,Sindicato 30 de noviembre
134,Taxi trufi,Sindicato 30 de noviembre
245,Minibus,Sindicato 6 de agosto
260,Minibus,Sindicato 6 de agosto
270,Minibus,Sindicato 6 de agosto
1,Minibus,Sindicato 6 de mayo
5,Minibus,Sindicato 6 de mayo
8,Minibus,Sindicato 6 de mayo
13,Minibus,Sindicato 6 de mayo
14,Minibus,Sindicato 6 de mayo
15,Minibus,Sindicato 6 de mayo
36,Minibus,Sindicato 6 de mayo
43,Minibus,Sindicato 6 de mayo
03,Taxi trufi,Sindicato 6 de mayo
31,Minibus,Sindicato Bolivia
103,Taxi trufi,Sindicato Bolivia
107,Taxi trufi,Sindicato Bolivia
135,Taxi trufi,Sindicato Bolivia
125,Taxi trufi,Sindicato Bolivia "JB"
122,Taxi trufi,Sindicato de colectiveros y microbuses radio urbano y suburbano ciudad de Cochabamba
160,Minibus,Sindicato de colectiveros y microbuses radio urbano y suburbano ciudad de Cochabamba
A,Micro,Sindicato de colectiveros y microbuses radio urbano y suburbano ciudad de Cochabamba
B,Micro,Sindicato de colectiveros y microbuses radio urbano y suburbano ciudad de Cochabamba
C,Micro,Sindicato de colectiveros y microbuses radio urbano y suburbano ciudad de Cochabamba
E,Micro,Sindicato de colectiveros y microbuses radio urbano y suburbano ciudad de Cochabamba
G,Micro,Sindicato de colectiveros y microbuses radio urbano y suburbano ciudad de Cochabamba
H,Micro,Sindicato de colectiveros y microbuses radio urbano y suburbano ciudad de Cochabamba
I,Micro,Sindicato de colectiveros y microbuses radio urbano y suburbano ciudad de Cochabamba
J,Micro,Sindicato de colectiveros y microbuses radio urbano y suburbano ciudad de Cochabamba
K,Micro,Sindicato de colectiveros y microbuses radio urbano y suburbano ciudad de Cochabamba
LL,Micro,Sindicato de colectiveros y microbuses radio urbano y suburbano ciudad de Cochabamba
S,Micro,Sindicato de colectiveros y microbuses radio urbano y suburbano ciudad de Cochabamba
U,Micro,Sindicato de colectiveros y microbuses radio urbano y suburbano ciudad de Cochabamba
V,Micro,Sindicato de colectiveros y microbuses radio urbano y suburbano ciudad de Cochabamba
X,Micro,Sindicato de colectiveros y microbuses radio urbano y suburbano ciudad de Cochabamba
Y,Micro,Sindicato de colectiveros y microbuses radio urbano y suburbano ciudad de Cochabamba
010,Taxi trufi,Sindicato de taxi trufis 8 de mayo
112,Taxi trufi,Sindicato de taxi trufis Sindicato de taxi trufis 8 de mayo
124,Minibus,Sindicato mixto de autotransporte Sacaba
230,Minibus,Sindicato mixto de autotransporte Sacaba
233,Minibus,Sindicato mixto de autotransporte Sacaba
240,Minibus,Sindicato mixto de autotransporte Sacaba
241,Minibus,Sindicato mixto de autotransporte Sacaba
242,Minibus,Sindicato mixto de autotransporte Sacaba
N,Micro,Sindicato mixto de autotransporte Sacaba
101,Taxi trufi,Sindicato mixto de transportistas 21 de julio
101-A,Taxi trufi,Sindicato mixto de transportistas 21 de julio
200,Micro,Sindicato mixto de transportistas línea 7 Nuestra Señora de Urkupiña
201,Minibus,Sindicato mixto de transportistas línea 7 Nuestra Señora de Urkupiña
202,Minibus,Sindicato mixto de transportistas línea 7 Nuestra Señora de Urkupiña
203,Micro,Sindicato mixto de transportistas línea 7 Nuestra Señora de Urkupiña
212,Minibus,Sindicato mixto de transportistas Santa Rosa de Lima
220,Micro,Sindicato mixto de transportistas Santa Rosa de Lima
232,Minibus,Sindicato mixto de transportistas Santa Rosa de Lima
244,Minibus,Sindicato mixto de transportistas Santa Rosa de Lima
131,Taxi trufi,Sindicato San Miguel
132,Taxi trufi,Sindicato San Miguel
16,Minibus,Sindicato Santa Vera Cruz
18,Minibus,Sindicato Santa Vera Cruz
20,Minibus,Sindicato Santa Vera Cruz
52,Minibus,Sindicato Santa Vera Cruz
114,Taxi trufi,Sindicato Santa Vera Cruz
012,Taxi trufi,Sindicato Tropico
O,Micro,Sindicato Tropico
208,Minibus,Sindicato Vinto
209,Minibus,Sindicato Vinto
211,Minibus,Sindicato Vinto
290,Minibus,Sindicato Vinto
120,Taxi trufi,Tiquipaya
Z,Minibus,Tiquipaya
Q,Micro,Urkupiña
51,Minibus,Virgen del Carmen
Teleferico,Gondola,EMAVRA
211R,Minibus,Línea 211R
D,Minibus,Línea D
250,Micro,Línea 250
Taquiña,Taxi trufi,Taquiña